threshold,tp,fp,tn,fn,recall,fpr,projected_precision
0.023,499,125,375,1,0.998,0.25,0.019665799637424135
0.0229,499,126,374,1,0.998,0.252,0.019512767371837485
0.0225,499,128,372,1,0.998,0.256,0.019213738400523664
0.0224,499,133,367,1,0.998,0.266,0.01850478380182452
0.0223,499,135,365,1,0.998,0.27,0.01823563806461044
0.0222,499,137,363,1,0.998,0.274,0.01797420935091132
0.0221,499,138,362,1,0.998,0.276,0.01784628589821537
0.022,499,139,361,1,0.998,0.278,0.017720170454545454
0.0219,499,141,359,1,0.998,0.282,0.017473212409832628
0.0218,499,143,357,1,0.998,0.286,0.017233043238016305
0.0217,499,146,354,1,0.998,0.292,0.016884918620783004
0.0215,499,149,351,1,0.998,0.298,0.016550580431177447
0.0214,499,150,350,1,0.998,0.3,0.016442057398925833
0.0213,499,153,347,1,0.998,0.306,0.01612486266399535
0.021,499,154,346,1,0.998,0.308,0.016021833360089905
0.0209,499,156,344,1,0.998,0.312,0.015819674729734015
0.0207,499,157,343,1,0.998,0.314,0.01572049650305589
0.0206,499,159,341,1,0.998,0.318,0.015525824517734911
0.0203,499,161,339,1,0.998,0.322,0.015335914930235419
0.0201,499,163,337,1,0.998,0.326,0.015150595093514697
0.02,499,164,336,1,0.998,0.328,0.01505960464765354
0.0199,499,167,333,1,0.998,0.334,0.014793074825091903
0.0198,499,168,332,1,0.998,0.336,0.014706315758450975
0.0197,499,169,331,1,0.998,0.338,0.014620568414884268
0.0196,499,171,329,1,0.998,0.342,0.014452038924930492
0.0195,499,175,325,1,0.998,0.35,0.014126373004189787
0.0194,499,176,324,1,0.998,0.352,0.01404723700137939
0.0193,499,177,323,1,0.998,0.354,0.013968982699736858
0.0192,500,179,321,0,1.0,0.358,0.013842363168240083
0.019,500,181,319,0,1.0,0.362,0.01369150305320518
0.0189,500,184,316,0,1.0,0.368,0.013471279232675935
0.0188,500,186,314,0,1.0,0.372,0.013328357413232395
0.0185,500,188,312,0,1.0,0.376,0.013188436378982907
0.0182,500,190,310,0,1.0,0.38,0.013051422605063952
0.018,500,193,307,0,1.0,0.386,0.012851157889325828
0.0178,500,195,305,0,1.0,0.39,0.012721027859051012
